age,id,became_member_on,income,F,M,O,no_gender,orig_id
0,1,20170212,,0,0,0,1,68be06ca386d4c31939f3a4f0e3dd783
55,2,20170715,112000.0,1,0,0,0,0610b486422d4921ae7d2bf64640c50b
0,3,20180712,,0,0,0,1,38fe809add3b4fcf9315a9694bb96ff5
75,4,20170509,100000.0,1,0,0,0,78afa995795e4d85b5d9ceeca43f5fef
0,5,20170804,,0,0,0,1,a03223e636434f42ac4c3df47e8bac43
68,6,20180426,70000.0,0,1,0,0,e2127556f4f64592b11af22de27a7932
0,7,20170925,,0,0,0,1,8ec6ce2a7e7949b1bf142def7d0e0586
0,8,20171002,,0,0,0,1,68617ca6246f4fbc85e91a2a49552598
65,9,20180209,53000.0,0,1,0,0,389bc3fa690240e798340f5a15918d5c
0,10,20161122,,0,0,0,1,8974fc5686fe429db53ddde067b88302
0,11,20170824,,0,0,0,1,c4863c7985cf408faee930f111475da3
0,12,20150919,,0,0,0,1,148adfcaa27d485b82f323aaaad036bd
58,13,20171111,51000.0,0,1,0,0,2eeac8d8feae4a8cad5a6af0499a211d
61,14,20170911,57000.0,1,0,0,0,aa4862eba776480b8bb9c68455b8c2e1
26,15,20140213,46000.0,0,1,0,0,e12aeaf2d47d42479ea1c4ac3d8286c6
62,16,20160211,71000.0,1,0,0,0,31dda685af34476cad5bc968bdb01c53
49,17,20141113,52000.0,0,1,0,0,62cf5e10845442329191fc246e7bcea3
0,18,20170801,,0,0,0,1,744d603ef08c4f33af5a61c8c7628d1c
57,19,20171231,42000.0,0,1,0,0,6445de3b47274c759400cd68131d91b4
61,20,20180501,40000.0,1,0,0,0,a448667f336b42c9a66fc5ffd5d73772
40,21,20160504,71000.0,1,0,0,0,440cf1fd7580490c971d8c651ed962af
64,22,20170909,100000.0,0,1,0,0,4b0da7e80e5945209a1fdddfe813dbe0
78,23,20170616,71000.0,1,0,0,0,c27e0d6ab72c455a8bb66d980963de60
0,24,20170907,,0,0,0,1,2b826eba31074a059d63b0ae8f50b7d5
42,25,20130811,69000.0,0,1,0,0,f806632c011441378d4646567f357a21
56,26,20180428,88000.0,1,0,0,0,d058f73bf8674a26a95227db098147b1
0,27,20170330,,0,0,0,1,65aba5c617294649aeb624da249e1ee5
33,28,20170926,52000.0,1,0,0,0,c6c9884912c645429f3333f912b55f44
46,29,20170911,59000.0,1,0,0,0,7429a044884842d6862f516c38b1156f
59,30,20150121,41000.0,0,1,0,0,ebe7ef46ea6f4963a7dd49f501b26779
67,31,20140823,96000.0,0,1,0,0,5917d13f6fa04286abdf95f4d5cefb1e
53,32,20170916,52000.0,0,0,1,0,d1ede868e29245ea91818a903fec04c6
22,33,20170925,70000.0,0,1,0,0,1e9420836d554513ab90eba98552d0a9
96,34,20171117,89000.0,1,0,0,0,868317b9be554cb18e50bc68484749a2
40,35,20160709,33000.0,0,1,0,0,f082d80f0aac47a99173ba8ef8fc1909
69,36,20160814,57000.0,1,0,0,0,102e9454054946fda62242d2e176fdce
0,37,20160707,,0,0,0,1,4beeb3ed64dd4898b0edf2f6b67426d3
56,38,20140511,68000.0,0,1,0,0,8dabe2142cdf4013a6f4786edf8ab00f
26,39,20170812,63000.0,1,0,0,0,9f30b375d7bd4c62a884ffe7034e09ee
0,40,20180113,,0,0,0,1,25c906289d154b66bf579693f89481c9
75,41,20151112,40000.0,0,1,0,0,6e014185620b49bd98749f728747572f
20,42,20160711,30000.0,1,0,0,0,02c083884c7d45b39cc68e1314fec56c
45,43,20180707,33000.0,0,1,0,0,c0d210398dee4a0895b24444a5fcd1d2
61,44,20171121,98000.0,0,1,0,0,8b70ca1f5f5a45bdac2ac2f990b71526
0,45,20141111,,0,0,0,1,5b8f1f0e0930464f93bb55e59b5a04e0
0,46,20170511,,0,0,0,1,8be4463721e14d7fa600686bf8c8b2ed
69,47,20130918,37000.0,1,0,0,0,8e7c7465e98c43d8a01f51e2b5c29542
54,48,20170207,80000.0,1,0,0,0,57dd18ec5ddc46828afb81ec5977bef2
39,49,20140527,51000.0,0,1,0,0,be8a5d1981a2458d90b255ddc7e0d174
41,50,20150921,41000.0,1,0,0,0,3f89b8f80ebc4f94b7074f28071aa8d4
79,51,20150415,48000.0,1,0,0,0,a3b9b4bf115e4564933ea2e4bc936843
66,52,20180408,38000.0,1,0,0,0,7584948ea6d04f94b8798624706261c2
56,53,20170626,52000.0,1,0,0,0,e9844d5beac04bf8b8d3ad18f7e37fca
39,54,20140723,56000.0,1,0,0,0,f247806381704ea58c1b06f60602a6ae
0,55,20170528,,0,0,0,1,81ac76e4f2fe4a6bb5ebdc0f19cecc56
